GalaxyID,HalfMassRad_Gas,HalfMassRad_Star,SubGroupNumber,Redshift,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,KappaCoRot,Mass_Star,ApertureSize,Count_Star
737885,157.28249,8.494644,0,2.220446E-16,10.568089,17.057306,5.6756,0.6453517709503653,2.57581302E10,30,188249
746518,132.76613,4.32234,0,2.220446E-16,4.086632,21.520256,14.216853,0.45093747924370975,1.5302997E10,30,150603
754151,128.21327,5.750483,0,2.220446E-16,15.745595,12.172249,9.736465,0.6013109285129217,1.39529083E10,30,106684
763033,121.18789,6.3302135,0,2.220446E-16,20.777431,16.906313,18.44549,0.5741100603056786,1.61931633E10,30,115618
770934,150.31343,4.3618517,0,2.220446E-16,13.158655,15.835269,17.698986,0.40645287535030583,1.9364436E10,30,130056
780704,150.07278,1.6632456,0,2.220446E-16,21.44657,5.283503,15.215349,0.4903814370098709,3.07512422E10,30,176904
793490,145.89627,5.2958913,0,2.220446E-16,10.628289,19.332123,7.458722,0.5879982580508382,1.92329196E10,30,137376
817104,120.203,5.952875,0,2.220446E-16,12.779194,7.1996484,10.328991,0.484028202733128,1.68223662E10,30,137432
833288,130.03362,1.8943385,0,2.220446E-16,16.651936,21.01943,15.13254,0.5055134290542205,1.32500193E10,30,86565
846421,134.95842,6.788192,0,2.220446E-16,19.995176,0.20964736,16.79842,0.671929814083858,2.25677967E10,30,152342
853401,139.93465,3.2498074,0,2.220446E-16,16.440382,9.277079,23.166275,0.6231875119968527,1.90100828E10,30,125732
860575,108.87113,5.704394,0,2.220446E-16,15.853768,8.708701,24.09887,0.48268564046780094,1.19832187E10,30,90981
866129,181.15012,1.9136295,0,2.220446E-16,18.617327,20.774141,15.336075,0.5175682221547241,1.67574272E10,30,102040
878368,119.4081,6.276558,0,2.220446E-16,8.886304,21.69437,12.750939,0.5919144042234076,1.45987471E10,30,122512
892497,143.29025,3.0687044,0,2.220446E-16,21.265682,18.914572,17.511896,0.5032724327687425,1.22558556E10,30,80246
907304,105.891205,3.5904214,0,2.220446E-16,14.028389,17.36354,18.346325,0.43850482000594165,1.19390996E10,30,86768
912390,127.34753,3.256752,0,2.220446E-16,6.5492835,1.939006,13.359001,0.5083393319140636,1.49651528E10,30,96951
917940,63.637516,3.402816,0,2.220446E-16,6.020908,12.699578,9.927425,0.6320082683542126,1.29477253E10,30,90840
924755,88.01443,4.088323,0,2.220446E-16,10.327091,3.762167,12.566983,0.5888315012266585,1.0890967E10,30,77807
950105,120.85707,3.1080685,0,2.220446E-16,11.412302,4.188184,9.8687935,0.4915034334704657,1.05031506E10,30,80511
955249,54.06275,4.9083223,0,2.220446E-16,19.872429,2.4534361,16.566977,0.510687766279376,1.09252147E10,30,74289
959840,126.87161,3.3265915,0,2.220446E-16,10.315448,17.000809,0.08814031,0.4378157311387548,1.17109791E10,30,82320
971267,115.653435,6.3165154,0,2.220446E-16,21.159018,11.135658,21.783884,0.6298444978011658,1.0051157E10,30,74519
1437151,250.81485,5.5651054,0,2.220446E-16,20.999605,21.340282,15.90717,0.4830945159198949,2.45146276E10,30,176206
1515368,287.79874,3.2759018,0,2.220446E-16,10.618836,17.064117,3.9228845,0.4461797794380537,5.3140783E10,30,314599
1540783,234.39337,5.1272435,0,2.220446E-16,9.839915,2.6198616,13.153158,0.4320753956997648,4.3012502E10,30,308473
1593757,219.47949,5.5502257,0,2.220446E-16,22.110846,3.5118682,15.7766,0.4449545971698256,2.85928468E10,30,184015
1608845,180.19482,7.706573,0,2.220446E-16,14.284361,11.325989,7.828838,0.6446150802991606,3.8594699E10,30,319104
1623194,227.16684,3.4330912,0,2.220446E-16,13.560003,20.400774,15.675034,0.4451022468670547,5.4781612E10,30,336204
1681524,231.31052,3.781166,0,2.220446E-16,7.7830467,19.691755,19.485329,0.48633707217425826,2.13081149E10,30,160374
1757806,195.49469,12.129424,0,2.220446E-16,9.265308,10.718569,5.2431583,0.728978680594815,3.28980664E10,30,230281
1785362,226.67058,10.633857,0,2.220446E-16,14.364067,13.6217575,0.0597114,0.4098169788507966,1.85949798E10,30,123679